Update 2, AVG Reward 3255.3896484375/64.00, Length: 64, Sample: 64
Update 1, AVG Reward 350.9226989746094/64.00, Length: 64, Sample: 0
Update 1, AVG Reward -9064.94921875/64.00, Length: 64, Sample: 0
Update 1, AVG Reward 10747.140625/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 43844.90234375/64.00, Length: 64, Sample: 64
Update 1, AVG Reward 36863.80078125/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 25139.244140625/64.00, Length: 64, Sample: 64
Update 1, AVG Reward 11985.263671875/64.00, Length: 64, Sample: 0
Update 1, AVG Reward 14041.4677734375/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 3829.001953125/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 12044.5595703125/64.00, Length: 64, Sample: 128
Update 4, AVG Reward 11706.255859375/64.00, Length: 64, Sample: 192
Update 5, AVG Reward 18899.955078125/64.00, Length: 64, Sample: 256
Update 6, AVG Reward 20940.65234375/64.00, Length: 64, Sample: 320
Update 7, AVG Reward 19550.86328125/64.00, Length: 64, Sample: 384
Update 1, AVG Reward 9327.107421875/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 17230.724609375/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 10594.021484375/64.00, Length: 64, Sample: 128
Update 4, AVG Reward 11081.5224609375/64.00, Length: 64, Sample: 192
Update 5, AVG Reward 22292.13671875/64.00, Length: 64, Sample: 256
Update 1, AVG Reward 9541.822265625/64.00, Length: 64, Sample: 0
Update 1, AVG Reward 29307.7890625/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 21713.99609375/64.00, Length: 64, Sample: 64
Update 1, AVG Reward 8405.35546875/64.00, Length: 64, Sample: 0
Update 2, AVG Reward 23363.158203125/64.00, Length: 64, Sample: 64
Update 3, AVG Reward 15299.4072265625/64.00, Length: 64, Sample: 128
Update 4, AVG Reward 5149.64501953125/64.00, Length: 64, Sample: 192
Update 5, AVG Reward 1158.557861328125/64.00, Length: 64, Sample: 256
Update 6, AVG Reward 31393.560546875/64.00, Length: 64, Sample: 320
Update 7, AVG Reward 8366.7197265625/64.00, Length: 64, Sample: 384
Update 8, AVG Reward 22620.9140625/64.00, Length: 64, Sample: 448
Update 9, AVG Reward 4150.38916015625/64.00, Length: 64, Sample: 512
Update 10, AVG Reward 8624.4931640625/64.00, Length: 64, Sample: 576
Update 11, AVG Reward 14012.2509765625/64.00, Length: 64, Sample: 640
Update 12, AVG Reward 3359.1328125/64.00, Length: 64, Sample: 704
Update 13, AVG Reward 17356.056640625/64.00, Length: 64, Sample: 768
